fund_id,amc_bank,fund_name,short_name,fund_type,category,risk_profile,asset_allocation,latest_metric_date,return_1m,return_6m,return_1y,return_ytd,latest_nav_pkr,nav_date
2,,ABL Cash Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,10.66,10.65,10.56,10.67,10.466,2026-09-05
1,,Meezan Islamic Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,-0.74,10.08,8.54,-4.09,163.6147,2026-09-05
190,Atlas,Atlas Aggressive Allocation Islamic Plan,AAAIP,Asset Allocation,Asset Allocation,High,"AIDSF: 72.74%, AIIF: 3.26%, AIMF: 15.96%, Cash: 7.87%, Others incl. receivables: 0.16%",,4.16,22.36,42.73,31.15,,
192,Atlas,Atlas Conservative Allocation Islamic Plan,ACAIP,Asset Allocation,Asset Allocation,Medium,"AIDSF: 35.22%, AIIF: 4.55%, AIMF: 54.66%, Cash: 5.48%, Others incl. receivables: 0.09%",,2.47,13.21,25.18,17.72,,
14,Atlas,Atlas Dividend Yield Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,-1.01,7.94,0.0,-2.25,95.3562,2026-09-05
15,Atlas,Atlas Financial Sector Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,-1.25,15.33,0.0,1.94,99.7098,2026-09-05
8,Atlas,Atlas Income Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,11.52,10.38,10.43,11.17,542.0817,2026-09-05
204,Atlas,Atlas Islamic Building Materials Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,-1.22,0.0,0.0,-16.01,105.8039,2026-09-05
30,Atlas,Atlas Islamic Cash Fund,AICF,Money Market,Mutual Fund,Low,"Placement with Banks & DFI's: 55.86%, Sukuk: 15.09%, Gov. Ijarah Sukuks: 14.92%, Cash: 12.49%, Others incl. receivables: 1.64%",2026-09-05,11.65,10.7,10.49,10.7,513.3516,2026-09-05
189,Atlas,Atlas Islamic Dedicated Stock Fund,AIDSF,Equity,Equity,High,"Equities: 97.23%, Others incl. receivables: 2.52%, Cash: 0.25%",,5.45,26.0,50.81,36.88,,
205,Atlas,Atlas Islamic Energy Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,-2.2,0.0,0.0,-0.28,106.5815,2026-09-05
85,Atlas,Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan),,General,Mutual Fund,Moderate,Diversified,2026-09-05,-0.51,8.16,8.7,-2.38,1448.8715,2026-09-05
86,Atlas,Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan),,General,Mutual Fund,Moderate,Diversified,2026-09-05,-0.16,6.51,9.74,-0.01,953.9142,2026-09-05
87,Atlas,Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan),,General,Mutual Fund,Moderate,Diversified,2026-09-05,-0.37,7.38,8.63,-1.44,1236.2847,2026-09-05
39,Atlas,Atlas Islamic Income Fund,AIIF,Income,Mutual Fund,Medium,"Cash: 44.93%, Ijarah Sukuks: 26.45%, Placement with Banks & DFI's: 22.24%, Others incl. receivables: 3.93%, Sukuk: 2.45%",2026-09-05,11.73,9.86,9.95,10.6,526.3246,2026-09-05
31,Atlas,Atlas Islamic Money Market Fund,AIMF,Money Market,Mutual Fund,Low,"Placement with Banks & DFI's: 39.35%, Cash: 36.06%, Sukuk: 14.50%, Gov. Ijarah Sukuks: 8.62%, Others incl. receivables: 1.47%",2026-09-05,11.85,10.93,10.91,11.04,517.2804,2026-09-05
55,Atlas,Atlas Islamic Stock Fund,AISF,Equity,Mutual Fund,High,"Equities: 95.52%, Cash: 2.54%, Others incl. receivables: 1.94%",2026-09-05,-0.78,9.31,5.93,-3.88,1544.8124,2026-09-05
196,Atlas,Atlas KPK Islamic Pension Fund - Money Market Sub Fund,AKPKIPF-Money Market Sub Fund,Money Market,Money Market,Low,"Cash: 40.74%, Sukuk: 24.51%, Ijarah Sukuks: 18.90%, Placement with Banks & DFI's: 14.14%, Others incl. receivables: 1.72%",,10.52,,,10.22,,
4,Atlas,Atlas Liquid Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,11.94,10.88,10.83,11.22,513.5601,2026-09-05
191,Atlas,Atlas Moderate Allocation Islamic Plan,AMAIP,Asset Allocation,Asset Allocation,High,"AIDSF: 57.70%, AIIF: 10.65%, AIMF: 23.80%, Cash: 7.77%, Others incl. receivables: 0.09%",,3.43,18.38,35.78,25.57,,
5,Atlas,Atlas Money Market Fund,,General,Mutual Fund,Moderate,Diversified,2026-09-05,11.7,10.9,10.85,11.28,524.9491,2026-09-05
